指标,股票代码,nan,2025-09-30,2025-06-30,2024-12-31,2024-09-30,2025-03-31
毛利率,300225,,--,--,--,--
净利,300225,,1.0729,0.5083,0.3489,2.0813
负债率,300225,,38.9378,39.9262,38.78,38.992
流动比,300225,,1.4892,1.4671,1.4918,1.4784
速动比,300225,,1.3092,1.3031,1.3007,1.3154
存货周转,300225,,4.3027,2.8987,1.2758,5.635
应收周转,300225,,1.908,1.2175,0.5683,2.6422
BVPS,688326,,33.8734,33.7155,33.1494,35.6404
ROE,688326,,-1.9,-2.22,-3.09,-13.15
净利率,688326,,-1.6485,-3.0128,-9.2277,-9.8411
毛利率,688326,,--,--,--,--
净利,688326,,-0.77,-0.9288,-1.3159,-5.8213
负债率,688326,,58.1319,57.2509,56.8666,54.5446
流动比,688326,,1.0936,1.1218,1.1752,1.2453
速动比,688326,,0.7212,0.762,0.8172,0.9292
存货周转,688326,,2.0387,1.3784,0.6602,2.804
应收周转,688326,,2.527,1.6241,0.7723,3.5569
BVPS,688150,,4.482,4.5723,4.5895,4.4334
ROE,688150,,9.97,6.87,3.3,9.38
净利率,688150,,42.5163,43.3431,42.0116,35.4665
毛利率,688150,,--,--,--,--
净利,688150,,8.3442,5.889,2.8322,8.2408
负债率,688150,,17.7493,15.4722,15.3024,15.7641
流动比,688150,,6.0777,7.3333,7.0044,6.8994
速动比,688150,,5.4357,6.611,6.512,6.4419
存货周转,688150,,0.9698,0.6837,0.4427,1.6939
应收周转,688150,,2.9263,1.8911,0.9241,3.9726
BVPS,688711,,5.0893,5.062,5.0671,5.0618
ROE,688711,,0.5,0.28,0.1,-1.34
净利率,688711,,0.488,0.2494,0.0317,-1.7231
毛利率,688711,,--,--,--,--
净利,688711,,0.1857,0.066,0.0036,-0.9013
负债率,688711,,57.722,57.5222,57.9679,58.5786
流动比,688711,,1.3871,1.419,1.4382,1.3976
速动比,688711,,0.9105,0.9726,0.9278,0.9566
存货周转,688711,,1.9714,1.4541,0.5864,2.598
应收周转,688711,,2.0587,1.4444,0.6538,2.8713
BVPS,301119,,9.809,9.5443,10.2184,9.8541
ROE,301119,,8.92,6.39,3.57,8.87
净利率,301119,,26.9905,29.314,36.4914,21.4012
毛利率,301119,,--,--,--,--
净利,301119,,6.4018,4.4332,2.5946,7.1688
负债率,301119,,31.0608,33.8251,31.8992,24.8179
流动比,301119,,2.7184,2.557,2.7479,3.5796
速动比,301119,,2.5657,2.4207,2.6139,3.3639
存货周转,301119,,3.3686,2.1782,1.0716,4.1686
应收周转,301119,,2.581,1.6066,0.8562,3.4848
BVPS,300710,,4.8893,4.8388,4.954,4.9738
ROE,300710,,-2.23,-3.05,-0.8,-42.18
净利率,300710,,-4.1839,-10.7557,-6.1941,-56.8082
毛利率,300710,,--,--,--,--
净利,300710,,-1.2799,-2.0629,-0.5431,-25.0223
负债率,300710,,23.5395,22.8494,22.4829,27.0923
